MOBID,ITEMID,Verified,Chance
mob_snail,item_mesos,TRUE,
mob_snail,item_red_potion,TRUE,
mob_snail,item_arrow_for_bow,TRUE,
mob_snail,item_arrow_for_crossbow,TRUE,
mob_snail,item_snail_shell,TRUE,
mob_snail,item_green_headband,FALSE,
mob_snail,item_white_undershirt,FALSE,
mob_snail,item_red_miniskirt,FALSE,
mob_snail,item_sword,FALSE,
mob_snail,item_green_apple,FALSE,
mob_snail,item_bronze_ore,FALSE,
mob_snail,item_garnet_ore,FALSE,
mob_blue_snail,item_mesos,TRUE,
mob_blue_snail,item_blue_headband,TRUE,
mob_blue_snail,item_red_potion,TRUE,
mob_blue_snail,item_arrow_for_bow,TRUE,
mob_blue_snail,item_blue_snail_shell,TRUE,
mob_blue_snail,item_iron_ore,TRUE,
mob_blue_snail,item_undershirt,FALSE,
mob_blue_snail,item_blue_onelined_tshirt,FALSE,
mob_blue_snail,item_grey__brown_training_shirt,FALSE,
mob_blue_snail,item_redstriped_tshirt,FALSE,
mob_blue_snail,item_grey_thick_sweat_pants,FALSE,
mob_blue_snail,item_greybrown_training_pants,FALSE,
mob_blue_snail,item_steel_ore,FALSE,
mob_blue_snail,item_silver_ore,FALSE,
mob_blue_snail,item_amethyst_ore,FALSE,
mob_blue_snail,item_opal_ore,FALSE,
mob_blue_snail,item_arrow_for_crossbow,FALSE,
mob_shroom,item_mesos,TRUE,
mob_shroom,item_mushroom_spore,TRUE,
mob_shroom,item_jean_capris,FALSE,
mob_shroom,item_green_avelin_skirt,FALSE,
mob_shroom,item_ice_jeans,FALSE,
mob_shroom,item_hand_axe,FALSE,
mob_shroom,item_field_dagger,FALSE,
mob_shroom,item_mithril_ore,FALSE,
mob_shroom,item_aquamarine_ore,FALSE,
mob_red_snail,item_mesos,TRUE,
mob_red_snail,item_red_potion,TRUE,
mob_red_snail,item_arrow_for_bow,TRUE,
mob_red_snail,item_arrow_for_crossbow,TRUE,
mob_red_snail,item_red_snail_shell,TRUE,
mob_red_snail,item_opal_ore,FALSE,
mob_red_snail,item_amethyst_earrings,FALSE,
mob_red_snail,item_red_cloth_pants,FALSE,
mob_red_snail,item_brown_woodsman_boots,FALSE,
mob_red_snail,item_brown_duo,FALSE,
mob_red_snail,item_leather_purse,FALSE,
mob_red_snail,item_yellow_tshirt,FALSE,
mob_red_snail,item_metal_wand,FALSE,
mob_red_snail,item_wooden_sword,FALSE,
mob_stump,item_mesos,TRUE,
mob_stump,item_juno,TRUE,
mob_stump,item_red_potion,TRUE,
mob_stump,item_arrow_for_bow,TRUE,
mob_stump,item_arrow_for_crossbow,TRUE,
mob_stump,item_tree_branch,TRUE,
mob_stump,item_adamantium_ore,TRUE,
mob_stump,item_white_tubetop,FALSE,
mob_stump,item_brown_high_boots,FALSE,
mob_stump,item_wooden_club,FALSE,
mob_stump,item_triangular_zamadar,FALSE,
mob_stump,item_composite_bow,FALSE,
mob_stump,item_sap_of_ancient_tree,FALSE,
mob_stump,item_emerald_ore,FALSE,
mob_slime,item_mesos,TRUE,
mob_slime,item_red_potion,TRUE,
mob_slime,item_arrow_for_bow,TRUE,
mob_slime,item_arrow_for_crossbow,TRUE,
mob_slime,item_suishy_liquid,TRUE,
mob_slime,item_slime_bubble,TRUE,
mob_slime,item_sapphire_ore,TRUE,
mob_slime,item_white_bandana,FALSE,
mob_slime,item_blue_jean_shorts,FALSE,
mob_slime,item_beige_nitty,FALSE,
mob_slime,item_lemona,FALSE,
mob_slime,item_metal_axe,FALSE,
mob_slime,item_iron_axe,FALSE,
mob_slime,item_spear,FALSE,
mob_slime,item_fork_on_a_stick,FALSE,
mob_slime,item_orihalcon_ore,FALSE,
mob_pig,item_mesos,TRUE,
mob_pig,item_red_potion,TRUE,
mob_pig,item_arrow_for_bow,TRUE,
mob_pig,item_arrow_for_crossbow,TRUE,
mob_pig,item_pigs_head,TRUE,
mob_pig,item_leather,TRUE,
mob_pig,item_brown_skullcap,FALSE,
mob_pig,item_dark_nightshift,FALSE,
mob_pig,item_orange_lolica_armor,FALSE,
mob_pig,item_brown_hard_leather_pants,FALSE,
mob_pig,item_white_split_skirt,FALSE,
mob_pig,item_wooden_samurai_sword,FALSE,
mob_pig,item_wooden_mallet,FALSE,
mob_pig,item_garnier,FALSE,
mob_pig,item_gold_ore,FALSE,
mob_orange_mushroom,item_mesos,TRUE,
mob_orange_mushroom,item_red_potion,TRUE,
mob_orange_mushroom,item_arrow_for_bow,TRUE,
mob_orange_mushroom,item_arrow_for_crossbow,TRUE,
mob_orange_mushroom,item_orange_mushroom_cap,TRUE,
mob_orange_mushroom,item_bronze_ore,TRUE,
mob_orange_mushroom,item_bronze_koif,FALSE,
mob_orange_mushroom,item_white_gomushin,FALSE,
mob_orange_mushroom,item_brown_hard_leather_boots,FALSE,
mob_orange_mushroom,item_red_ninja_sandals,FALSE,
mob_orange_mushroom,item_basic_archer_gloves,FALSE,
mob_orange_mushroom,item_double_axe,FALSE,
mob_orange_mushroom,item_diamond_ore,FALSE,
mob_ribbon_pig,item_mesos,TRUE,
mob_ribbon_pig,item_red_potion,TRUE,
mob_ribbon_pig,item_arrow_for_bow,TRUE,
mob_ribbon_pig,item_pigs_ribbon,TRUE,
mob_ribbon_pig,item_leather,TRUE,
mob_ribbon_pig,item_silver_leather_hoodwear,FALSE,
mob_ribbon_pig,item_orange_sporty_tshirt,FALSE,
mob_ribbon_pig,item_dark_nightshift_pants,FALSE,
mob_ribbon_pig,item_stiff_feather,FALSE,
mob_ribbon_pig,item_amethyst_earrings,FALSE,
mob_ribbon_pig,item_redstriped_tshirt,FALSE,
mob_ribbon_pig,item_white_split_skirt,FALSE,
mob_ribbon_pig,item_mithril_ore,FALSE,
mob_ribbon_pig,item_amethyst_ore,FALSE,
mob_dark_stump,item_mesos,TRUE,
mob_dark_stump,item_arrow_for_bow,TRUE,
mob_dark_stump,item_leaf,TRUE,
mob_dark_stump,item_green_arianne,FALSE,
mob_dark_stump,item_yellow_avelin,FALSE,
mob_dark_stump,item_green_arianne_skirt,FALSE,
mob_dark_stump,item_yellow_avelin_skirt,FALSE,
mob_dark_stump,item_stolen_fence,FALSE,
mob_dark_stump,item_wooden_staff,FALSE,
mob_dark_stump,item_pole_arm,FALSE,
mob_dark_stump,item_red_potion,FALSE,
mob_dark_stump,item_steel_ore,FALSE,
mob_dark_stump,item_garnet_ore,FALSE,
mob_octopus,item_mesos,TRUE,
mob_octopus,item_octopus_leg,TRUE,
mob_octopus,item_single_earring,FALSE,
mob_octopus,item_brown_corporal,FALSE,
mob_octopus,item_brown_corporal_pants,FALSE,
mob_octopus,item_yellow_arianne_skirt,FALSE,
mob_octopus,item_red_potion,FALSE,
mob_octopus,item_steel_shield,FALSE,
mob_octopus,item_battle_shield,FALSE,
mob_octopus,item_blue_potion,FALSE,
mob_octopus,item_adamantium_ore,FALSE,
mob_octopus,item_aquamarine_ore,FALSE,
mob_green_mushroom,item_mesos,TRUE,
mob_green_mushroom,item_red_potion,TRUE,
mob_green_mushroom,item_blue_potion,TRUE,
mob_green_mushroom,item_green_mushroom_cap,TRUE,
mob_green_mushroom,item_emerald_ore,TRUE,
mob_green_mushroom,item_green_matty,FALSE,
mob_green_mushroom,item_green_bennis_chainmail,FALSE,
mob_green_mushroom,item_purple_arianne,FALSE,
mob_green_mushroom,item_red_nightshift,FALSE,
mob_green_mushroom,item_grey_able_armor,FALSE,
mob_green_mushroom,item_composite_bow,FALSE,
mob_green_mushroom,item_blue_pao_bottom,FALSE,
mob_green_mushroom,item_purple_arianne_skirt,FALSE,
mob_green_mushroom,item_red_nightshift_pants,FALSE,
mob_green_mushroom,item_grey_able_skirt,FALSE,
mob_green_mushroom,item_pan_lid,FALSE,
mob_green_mushroom,item_zeco,FALSE,
mob_green_mushroom,item_battle_crossbow,FALSE,
mob_green_mushroom,item_green_arianne,FALSE,
mob_green_mushroom,item_iron_axe,FALSE,
mob_green_mushroom,item_silver_ore,FALSE,
mob_green_mushroom,item_orihalcon_ore,FALSE,
mob_bubbling,item_mesos,TRUE,
mob_bubbling,item_bubblings_huge_bubble,TRUE,
mob_bubbling,item_red_potion,TRUE,
mob_bubbling,item_arrow_for_crossbow,TRUE,
mob_bubbling,item_red_apprentice_hat,FALSE,
mob_bubbling,item_blue_nightshift,FALSE,
mob_bubbling,item_yellow_able_armor,FALSE,
mob_bubbling,item_blue_nightshift_pants,FALSE,
mob_bubbling,item_brown_able_skirt,FALSE,
mob_bubbling,item_blue_jewelry_boots,FALSE,
mob_bubbling,item_fish_spear,FALSE,
mob_bubbling,item_the_magic_rock,FALSE,
mob_bubbling,item_blue_potion,FALSE,
mob_bubbling,item_wooden_samurai_sword,FALSE,
mob_bubbling,item_iron_axe,FALSE,
mob_bubbling,item_spear,FALSE,
